@relation imdb-sentiment-2011-weka.filters.unsupervised.instance.Resample-S1-Z50.0-weka.filters.unsupervised.instance.Resample-S1-Z10.0-no-replacement-V-weka.filters.unsupervised.instance.Resample-S1-Z10.0-no-replacement

@attribute Text string
@attribute class-att {pos,neg}

@data
'I grew up with the Abbott and Costello movies A. because my dad grew up with them and both our last names are abbott so we owe the deo a bit of respect I didnt realize the flack this movie and others of theres gets. It was a really clasic due it was funny cause abbott and costello were always the same characters but it was sooo funny now what i like about jack and the beanstalk is that even though the love story is totally boring and that one song the prince sings omg  awefull but i like the angle they took on the love story the couple has to get married cause one kingdom is running out of money they meet in the jail cell and fall in love becaue they both pretend not to be royal and they end up being the couple so happy ending i dont think that was the orginal version if it was they should have cut it out of this movie but i think it was orginal and i love it. but watching it sucks lol also when the movie really kicks in with the giant + abbott and costello it is sooooo funny. when the giant is beating jack into the door and jack is screaming OPEN THE DOOR OPEN THE DOOR that stuff is really funny. And that once joke where jack starts screaming prince prince and all those dogs jump him. kinda cheezy but really orginal. i wish they would have al least tried to remaster it though i got that africa screamsjack and the beanstalk and i dont mind the quality cause when i had it on tape it was bad quality also so whatever i guess. the begining is mildly funny the middle is really really funny and the end is not funny in the least but i am 19 years old and when a movie made in 52 makes me laugh this hard it rocks this movie is really funny. i love their style. also the chapters suck. also the part where jack is climbing the beanstalk and they are all singing a song about what a dipstick jack is and that he will be killed thats pretty funny',pos
'I watched an episode. Yes I sat through the entire miserable experience and I have to say this brand of comedy is one of the worst you will get. Imagine Peter Griffin of Family Guy fame. Now imagine Peter Griffin as a(admittedly slim and minus the glasses) woman except that he now lacks the something that made him hilarious. Peter Griffin is an idiot but he doesnt know hes an idiot. Sarah has none of the genuine character none of the acting ability to pull her character off. Maybe its the trite formulaic jokes that pull her comedy even lower than her character can take it by herself. Maybe its the lack of believable foils. Her insensitive bigoted persona may appeal to insensitive bigoted people unlike the mass appeal that Stephen Colberts insensitive bigoted character has. Like Bill OReilly Sarah creates an annoying unfunny character. She lacks something that is necessary for the genre of satire let alone for the entire world of comedy. What Sarah Silverman lacks its noticeable. And when you dont believe it and identify with it its not funny anymore.',neg
'The book that this movie is based on seriously changed my life. But saying this movie was a disappointment is an understatement. The acting directing cinematography and storyline were all horrible. I would never recommend this movie to anyone. Ive told countless people about the book but will now be telling them all that they should definitely not see the movie! I did not expect the plot to follow the book exactly but they have left out too many key components of the book. The movie tried but failed to deliver a powerful and inspiring message and only demeaned the central theme of the prophecy. While putting myself in the position who had not read the book I saw the Celestine Prophecy as a bunch of hoaxy B.S. I am thoroughly disappointed with Redfield for the way this movie turned out.',neg
'I cant believe I wasted my time with this movie. I couldnt even call it a movie. It was so bad with nothing to recommend it. <br /><br />I like low budget movies and weird flicks but this one had me bored to death. Badly made and bad acting ruined it from being curious. You have to wonder what these people were thinking when they spent money to produce this movie. I wonder what I was thinking watching it to the end. I recommend this movie to no one. How did they release this? Was there an audience who likes this kind of movie? There must be because you can find this at almost any video store. But why?<br /><br />Deserves to be forgotten.<br /><br />If you like bad movies then this is for you.',neg
'I just viewed MURDER AT THE VANITIES in the newly-released Universal Pre-Code set and I was amazed at how much I enjoyed the vehicle end to end. Most of the other commentators have covered the story a murder mystery within a musical but I wanted to add a few additional notes. Brisson and Carlisle are relatively bland compared to even most of the minor players and neither one really seems to have the proper voice for what theyre singing (Carlisle being a trained opera singer Brisson a bit wobbly on some of his high and low notes). The great Victor McLaglen and Jack Oakie play well off each other with an excellent sense of timing that keeps the ball rolling between musical numbers. Yes Lucille Ball and Ann Sheridan are Vanities girls but lets not forget the splendid jazz singer Ernestine Anderson in the Ebony Rhapsody number. Gail Patrick makes one of her early appearances sounding a bit like Eve Arden; Patrick would go on to become the executive producer of the Perry Mason TV series. Then theres Jessie Ralph as the wardrobe mistress--youll spot her also in David COPPERFIELD (as Aunt Peggoty) and THE BANK DICK. The music is very good--Brisson introducing the standard Cocktails for Two in two different scenes; Sweet Marihuana with barely clad peyote button girls in the background (blood dripping on one chorines white skin was wonderfully chilling); the Ebony Rhapsody with Duke Ellingtons Orchestra and a bevy of beautiful dancers both black and white mixing it up. And I believe this is one of the only early musicals to feature such a mix--and the costumes leave nothing to the imagination.',pos
'In the world of shorts (most of which arent) this film is a gem.<br /><br />A quiet concise peek into the world of a young woman whos a reader for a blind woman here the stellar Elizabeth Franz - this film bears the textures layers and visual storytelling of a sumptuously painted still life.<br /><br />The dialogue is minimal the cinematography is stunning and the direction sure clear and compelling. I saw this film in a film festival held in a loud and crowded Tribeca bar - and within the first two minutes (and for the first time that night) the crowd fell quiet.<br /><br />That says it all.',pos
'Paul Bettany did a great role as the tortured father whose favorite little girl dies tragically of disease. For that he deserves all the credit. However the movie was mostly about exactly that keeping the adventures of Darwin as he gathered data for his theories as incomplete stories told to children and skipping completely the disputes regarding his ideas.<br /><br />Two things bothered me terribly: the soundtrack with its whiny sound practically shoving sadness down the throat of the viewer and the movie trailer showing some beautiful sceneries the theological musings of him and his wife and the enthusiasm of his best friends as they prepare for a battle against blind faith thus misrepresenting the movie completely.<br /><br />To put it bluntly if one were to remove the scenes of the movie trailer from the movie the result would be a non descript family drama about a little child dying and the hardships of her parents as a result. Clearly not what I expected from a movie about Darwin albeit the movie was beautifully interpreted.',pos
'Rather like Paul Newman and Steve McQueen with their racing car movies this has all the appearance of a jollies project for Robert Redford as he gets to ski up hill and down dale in the Alpine sunshine.<br /><br />The story is as light as powdered snow with Redfords small-town boy David Chappellet (what kind of lead name is that?) who with his eyes on the prize of Olympic glory gets up the nose of in no particular order his coach father and team-mates. Women are a mere side-show in his insular world as evidenced by a fairly distasteful pick-up scene with an old girlfriend in his hometown and then his selfishly petulant pursuit of heavens above a free-thinking independent woman played by Camilla Sparv. The ski-ing sequences are fine with some good stunt-work involving numerous bumps and scrapes on the piste but their effectiveness is dimmed by our subsequent familiarity with top TV coverage of skiing events down to the present day. Plus Im not convinced that the Winter Olympics has the same mass identification with the general public as the summer games so that when Redford eventually wins his gold medal in the final reel I couldnt really be that excited for him one way or another.<br /><br />Of the actors Redford best profile forward doesnt need to do much and indeed doesnt while Gene Hackman does better with equally meagre material. Ms Sparv does well as the chief female interest well who treats Redford the way hes doubtless treated every other woman in his chauvinistic way.<br /><br />In truth though theres a lack of dramatic tension throughout for which the action sequences dont fully compensate and you dont care a fig for any of the leading characters. One of those films where the actors probably enjoyed making it more than the viewers did watching it.',neg
'Denzel is about the only thing that is right in this movie.<br /><br />Maybe once in an early stage this was a better movie. Someone decided to cut some action and plot points into the beginning of the movie giving away most of the story line in about the first 5 minutes. That and ruining whatever build up in pace and rhythm the movie might have had before.<br /><br />So first it confuses you and then it puts you off. The dramatization pushes beyond suspension of disbelieve.<br /><br />Of course there is that feeling of great injustice and anger that movies like this potentially manage to instill in viewers. Granted it does that so if you are looking for that ... knock yourself out.',neg
'This is one of the films that killed the spaghetti western. It not only loses something in the translation it is a total chaotic mess of editing as well. Either chunks of it have been edited out and or re-edited for an English language version. In any case it makes little or no sense period. It makes the Trinity and the Eastwood Man With No Name films look like John Ford/John Wayne by comparison. Nothing in this film is original. Somewhere in there is a beginning a middle and (finally)an end. Except for the end not everything is exactly in that order. Robert Wood seems personable enough. The rest of the cast especially the women should have made better career choices.',neg
