@relation imdb-sentiment-2011-weka.filters.unsupervised.instance.Resample-S1-Z50.0-weka.filters.unsupervised.instance.Resample-S1-Z10.0-no-replacement

@attribute Text string
@attribute class-att {pos,neg}

@data
'I spent eight years running movie theatres in the 80s and 90s. This was by far the worst film I ever showed to the public. One thing that made it so bad was that it put on airs of trying to be a great inspiring film. Even the great Gregory Peck could not save this horrid piece of drivel from being far less than mediocre. Jamie Lee Curtis in an early non-horror film role demonstrated clearly that she had not yet learned to act (shes still trying but it isnt getting much better).<br /><br />Im sorry and heres the spoiler international nuclear disarmament is never going to happen just because it makes children afraid to play little league baseball! Even the shows on Nick and The Disney Channel are not stupid enough to try to make us believe that dreck.<br /><br />This is not worth the time you would waste watching it on cable TV. It is not worth the price of a movie rental; your dollar would be better spent on an extra package of microwave popcorn to go with the other movie you picked (because it can only be better than this).',neg
'Che: Part One was a fascinating experiment which did not only tell a very interesting story but it also tried to do something different with the biopic genre.Che: Part Two is the excellent culmination of this experiment.<br /><br />This movie offers all of the same attributes from the first one from the extraordinary performances (specially from Benicio del Toro) to Steven Soderberghs brilliant direction without forgetting its intention of breaking with the conventional rules from the biopics.That is what I admire from Soderberghs experiments...they always try to do something different and unusual and they succeed most of the times.<br /><br />The final message from this film is perfect and it includes everything we have been told about Che Guervaras life.The only fail I found on Che: Part Two is that a few parts felt a bit irrelevant.<br /><br />In summary I give Che: Part Two a very enthusiastic recommendation because as the first one it is a brave and fascinating experiment which challenges the spectator and leaves us thinking.',pos
'This is one of the worst pieces of cinema I have seen in some time. This is also my first review so you can tell I must hate this film at lot.<br /><br />Dont get me wrong I like my serious films. I dont like Hollywood too much I tend to like French Italian offbeat US or anything that tries to communicate something sensible.<br /><br />But this was awful. Why? 1. The plot (such as it was) was entirely unbelievable even though the director seems to be hinging everything on a feeling of realism.<br /><br />2. The main character has nothing to recommend him. Does he smoke for coolness or to show us his angst? For goodness sake this guy is meant to be an ex-dodgy mafia lawyer. Are we meant to care more because that he is also one of the meanest unfriendly people you could ever meet? And he smokes...so he must have deep personal issues. Pop psychology at its best. In the final moments I almost cheered as he gets buried in the cement. Best place for him. And I thought that was about the only good scene. Or maybe that was because it was so close the final credits.<br /><br />3. The entirely tired and unbelievable interest in the main character from the beautiful girl. She was there simply because beautiful girls always have odd sexual relationships with old old men with a deep and meaningful personality (as demonstrated by smoking). Happens all the time. In really bad films that is.<br /><br />4. The pace was so leaden. I like slow I like careful. But this was just deathly.<br /><br />5-50 a bunch of other stuff that I really cant be bothered to write.<br /><br />Awful.',neg
'This movie is one of the worst horror movies I have ever seen. From the very first scene i knew it would be a smash crash. It starts with a seemingly bad girl killing a bunch of nuns in a mission. As it turns out the people in it were possessed by some random zombies. Well some years later some college kids are pulling some pledge prank. Horrible acting goes from pledge to the head jock. Things like the jock yelling at him to do stuff in quite a non-chalonte manner with pledge over reacting and over-doing the whole eager to be popular role What really took the cake with this one is the final battle. Absolutely HORRIBLE special effects with the guns. For example guns making a noise with no muzzle flash and vice-versa. this is accompanied by stop-animation zombies (why they move in stop motion is a mystery) cheesy music and about 40 guns that come out of nowhere.<br /><br />Overall this movie is crap. Just like so many others you can rent for 50 cents at your nearest low brow movie rental place.',neg
'i think dirty dancing was a great movie they tried to make another one havana nights which was good but it was nothing like dirty dancing. i would like to see another dirty dancing with the same people. without them i think it would be a mess. a lot of times movies are made then when they try to add on more they start to change the people an make the movies go down hill. i would love to see dirty dancing have another one to see what happened after they were able to be together. patrick an Jennifer did so well together. this movie was made in 1997 its time to make another one. but this time start where it left off an keep the same people in it.',pos
'No matter how you feel about Michael Jackson himself you cant deny that this video is the most unique video of all time. There is no other video that is even remotely close to Thriller The first time I saw it was when I was 6 years old and it scared me bad. Now I watch it with a smile because I can now appreciate the marvel that it is. I love this video and it will be around for as long as music videos exist. I think everyone should sit down and watch it when its on sometime and look back and see how great it was especially for being 1983.',pos
'People need to give this show a chance. The people who write bad reviews (there are very few of them) are clearly people who havent seen many episodes. One needs to really sit down and pay attention to this show to appreciate it. All of the characters are realistic because they have so many flaws. They make mistakes but they are REALISTIC mistakes which is an uncommon thing to see on television today. Also for the most part the acting is superb. Lauren Graham has been snubbed of an Emmy for six years now. Someone needs to give this woman the credit she deserves. Same goes for Kelly Bishop who plays Emily Gilmore so perfectly. Also its nice to see a show that can have a young girl at the center of it and not be filled with teen angst. Rory is a smart girl which is also not seen a lot on television today. If only other shows could capture the wholeness of this show...',pos
'Beating the bad guys... Again is the tag line for this movie it exposes so much truth about it.<br /><br />Home Alone one and two film classics. Home Alone three and four a good film if youre three! Like Sharkboy and Lavagirl as hard as it tries to be funny its not. Culkin is replaced by Alex DLinz or something else. Hes a very bland actor with bland performances but its not entirely his fault the writing called for bland vocabulary and bland expressions. The pranks are just copied from the first two with different crooks and youd have to be blind to think those chicken pox are real. A good choice if you are a preschool teacher in which is showing this film on a rainy day. And to make things worst a totally different cast go see if you dont believe me but youll regret it.',neg
'I have loved this movie since I first saw it in 1979. Im still amazed at how accurately Kurt Russell portrays Elvis right down to how he moves and the expressions on his face. Sometimes its scary how much he looks acts and talks like the real Elvis. Thankfully this is being released on DVD so all of us that have been waiting can finally have an excellent quality version of the full length film. I have heard the detractors who say that there are some inaccuracies or some things left out but I think that keeping in mind that John Carpenter only had about 2 1/2 hours to work with and that this was being shown on television (just two years after Elviss death!) that he did a fine job with this. In fact I havent seen another Elvis movie that even comes close to this one. Highly recommended.',pos
'I thought this was very different compared to most modern interpretations of Shakespeare and enjoyed it thoroughly. It would not be useful for those studying it at school etc. as it does not show the traditional Shakespeare character interpretations (i.e- Miranda is portrayed quite punky compared to your traditional Shakespeare lady) but for understanding of the play and for the basis of the story it is a very strong piece and fantastic to watch. It does not include also the correct format as in the layout of acts and scenes as I am currently playing Miranda in a production and most of her lines had been cut and some scenes split and mixed around but it is very useful and I would definitely recommend it as a must-see even if just to say youve seen it! Shakespeare fans would love this!',pos
