@relation imdb-sentiment-2011-weka.filters.unsupervised.instance.Resample-S1-Z50.0-weka.filters.unsupervised.instance.Resample-S1-Z10.0-no-replacement-V-weka.filters.unsupervised.instance.Resample-S1-Z10.0-no-replacement-V

@attribute Text String
@attribute reviewLaenge NUMERIC
@attribute satzZeichenAnzahl NUMERIC
@attribute informationsDichte NUMERIC
@attribute class-att {pos,neg}

@data
'fairly weak right poor horrible pretty enjoy ',253,4,0.17786561264822134,neg
'fell love excellent great dont fans fans ',536,9,0.07649253731343283,pos
'notgood like notgood recommend notimportant lack didnt mistress notdied died effective clearly ',1023,11,0.09286412512218964,neg
'bad fans capable explosive fiery notnotsupporting subdued worth ardent ',1075,14,0.06604651162790698,pos
'enjoyed great won enjoyable ',240,5,0.11666666666666667,pos
'like treasure adulation harsh well humorous cleverly solid like ',646,6,0.09907120743034056,pos
'struggle impressive wonderful best smoother didnt wont miss dont ',746,7,0.0871313672922252,pos
'not2 good cheap good smiling worth like ',476,4,0.08403361344537816,pos
'poorly burn like killing well kills prefers zombie nottalent struck poorer notoddly grainy fairly good like notbetter ',1458,15,0.08093278463648834,neg
'10 crude humor joke love funny like best dont delirious dont like dont humor notfun hang great classic miss famous delirious ',1086,16,0.1151012891344383,pos
'praising bad notgreat poor dont weak lack originality dont lack sadly lack redeeming awarded ',972,12,0.09567901234567901,neg
'love dont notheck crappy like heck good like crappy sad dumb like like died weird crappy love 1 10 ',879,0,0.11262798634812286,neg
'leading dynamic noteworthy warm accurate revelation warm amazing mesmerizing perfect 10 isolation worth enough better dont fans clearly dies ',2523,27,0.0558858501783591,neg
'unfavorable like mad worse displeasure stereotype funny trouble wins insightful joke like funny pure blatantly ripped notlike authentic like joke racism ',1454,22,0.10522696011004126,neg
'strange better suck sucked pretty impossible positive dead 2 worst abysmal reputation great advantage easy surpass embarrassing better pretentious dead dead good better worth splatter stupid advantage like attack insane deadly epidemic worries best like hardened inspiration eminent like didnt mistakes 2 like nauseating enjoy dreadful enjoyable zombie dont notslut clearly ',3088,23,0.1211139896373057,neg
'worth like trap doomed dont downer notwork best like dead dont good stuck bored ',994,11,0.08048289738430583,pos
'assassinate heroine reward unknown lying barren desert immense cold keen good fancy attractive plot like hilarious satirical nothard clearly well notcuteness pretty naive notlimit cuteness charm bad good leading dumb like good bad best inconsistent sweet works sleazy like important unable best better humour tired strained offensive awful lascivious notwork pure wisdom liberty vigilance blah blah successful good notnotdire 3/10 ',4215,28,0.1022538552787663,neg
'dont like didnt like excellent improved worth ... good enjoyable hard good qualify helping successful notprecisely thank ',1364,15,0.08870967741935484,pos
'stolen fun fame fairly good work silly enjoyed ',468,13,0.10042735042735043,pos
'angel kill kill ax twist love perfectly ',758,14,0.052770448548812667,pos
